Factor	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)	Formula	Mode	Group1	Group2	p	q	Metric
sType	3	15.2140039366634	5.07133464555447	38.5375015566512	0.486694261600147	0.001	'sType + rstc_run'	General					bray_curtis
rstc_run	1	1.96523234902535	1.96523234902535	14.9339670921017	0.0628675601086624	0.001	'sType + rstc_run'	General					bray_curtis
sType	1	6.92382750502481	6.92382750502481	56.2182957880954	0.338099748045059		'sType + rstc_run'	Pairwise	FR	FL	0.001	0.001090909090909091	bray_curtis
sType	1	4.85628191143685	4.85628191143685	54.3787937079844	0.476028395598028		'sType + rstc_run'	Pairwise	FR	RSP	0.001	0.001090909090909091	bray_curtis
sType	1	5.39475622065215	5.39475622065215	61.3055025214183	0.501228534465381		'sType + rstc_run'	Pairwise	FR	RF	0.001	0.001090909090909091	bray_curtis
sType	1	3.90687863772069	3.90687863772069	25.3557565985211	0.267879856768306		'sType + rstc_run'	Pairwise	FL	RSP	0.001	0.001090909090909091	bray_curtis
sType	1	4.20503722841684	4.20503722841684	27.6666524984089	0.282112554720021		'sType + rstc_run'	Pairwise	FL	RF	0.001	0.001090909090909091	bray_curtis
sType	1	1.09003815948702	1.09003815948702	7.16581722674835	0.304387434346451		'sType + rstc_run'	Pairwise	RSP	RF	0.001	0.001090909090909091	bray_curtis
