	sum_sq	df	F	PR(>F)
BS	0.015839831570372248	1.0	241.31880690527657	2.825107541002716e-17
Trt	0.0028705052049059028	5.0	8.746392134105246	1.858344583875959e-05
Run	8.449292588463709e-07	1.0	0.012872442472529024	0.9103167266958858
BS:Trt	0.0015878362717861474	5.0	4.838116528777593	0.0018173484847972252
Residual	0.002297351425165307	35.0		
