	sum_sq	df	F	PR(>F)
Trt	31.331077435421133	5.0	1.8695251872282472	0.15288503508594892
Run	23.73043957465164	1.0	7.079975877026984	0.016465922469106456
Residual	56.98006317762774	17.0		
