	sum_sq	df	F	PR(>F)
BS	145.51782907746272	1.0	6.254645548083992	0.017217550665978635
Trt	647.5932438586053	5.0	5.566968976032943	0.0007103178951904275
Run	560.3779733673816	1.0	24.086159191536897	2.1190817468172942e-05
BS:Trt	48.62986071897553	5.0	0.4180416156263185	0.8329623272368476
Residual	814.2945876879289	35.0		
