	sum_sq	df	F	PR(>F)
Trt	0.004356501926825389	5.0	6.515253304134296	0.001479563362795993
Run	2.277236258523015e-07	1.0	0.001702830769599607	0.9675651192996181
Residual	0.00227345060272748	17.0		
