	sum_sq	df	F	PR(>F)
BS	876363.1737524638	1.0	158.3704073868093	1.503035710496077e-14
Trt	122244.19090357827	5.0	4.418228171586529	0.0031834765873496856
Run	28089.74267599205	1.0	5.0761877315534525	0.030627221949396852
BS:Trt	117742.28963453838	5.0	4.25551756042741	0.003971135116721297
Residual	193677.03592767907	35.0		
