	sum_sq	df	F	PR(>F)
Trt	213.92067731450047	5.0	2.663566644119629	0.05914705868009058
Run	113.8251729131556	1.0	7.086293331684384	0.016425317445007564
Residual	273.06630546490464	17.0		
