	sum_sq	df	F	PR(>F)
BS	0.00070440336859339	1.0	7.440392014590593	0.009903316823184136
Trt	0.00048816682447608474	5.0	1.0312706340041746	0.41458377735048335
Run	0.00045877820813204927	1.0	4.845930426298521	0.03439699664657391
BS:Trt	0.00048537859121829596	5.0	1.0253803871964418	0.4178485494840716
Residual	0.003313550932857029	35.0		
