	sum_sq	df	F	PR(>F)
Trt	0.00010183954986666578	5.0	14.523411946796623	1.2644894869118598e-05
Run	6.769037664848418e-07	1.0	0.48266868136538477	0.49660244943954157
Residual	2.384112430433647e-05	17.0		
