	sum_sq	df	F	PR(>F)
Trt	239955.14946068128	5.0	4.862252012558389	0.006070648578642798
Run	53893.96146820693	1.0	5.460312545959176	0.03194994648184198
Residual	167792.10663271212	17.0		
