feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	sType
K16164	Trt	AT	0.815775469366776	0.127631442340082	24	24	6.69623588065502e-06	0.0025036203216978	FL
K13039	Trt	AT	-3.64097629421098	0.576605730896865	24	23	7.76723957923997e-06	0.0026538068562403	FL
K09733	Trt	AT	-5.38662934868349	0.875158633819422	24	23	8.21690443777477e-06	0.002750147607745	FL
K01502	Trt	AT	-1.89588520639441	0.308938114096522	24	24	8.52691257865436e-06	0.0027968273257986	FL
K15904	Trt	AT	-5.92285658718321	0.975749181687873	24	24	9.7666507710188e-06	0.002802322847706	FL
K11212	Trt	AT	-2.93071103632188	0.481748097542742	24	24	9.50290863497104e-06	0.002802322847706	FL
K13369	Trt	AT	2.67211171330699	0.436499134282664	24	24	8.79234263578658e-06	0.002802322847706	FL
K22482	Trt	AT	-4.29605438627947	0.703473412210493	24	23	9.06038961664823e-06	0.002802322847706	FL
K22396	Trt	AT	2.19487662221377	0.354660066317375	24	24	9.91065397359455e-06	0.002802322847706	FL
K15503	Trt	AT	3.78541528377308	0.6109057711048	24	23	9.76295395491132e-06	0.002802322847706	FL
K08859	Trt	AT	-3.95058894762719	0.636365702487814	24	22	9.54438466832686e-06	0.002802322847706	FL
K22480	Trt	AT	-2.93471771029115	0.47035634726329	24	24	8.98188320950512e-06	0.002802322847706	FL
K01959	Trt	AT	-2.61945951118681	0.433311741268697	24	24	1.02747258073638e-05	0.002856025478657	FL
K18310	Trt	AT	-3.64919748070845	0.593614750502198	24	23	1.07401403211431e-05	0.0029356383544457	FL
K05712	Trt	AT	2.56675477847252	0.427233792577827	24	24	1.10903697861102e-05	0.0029816731883968	FL
K09007	Trt	AT	0.783852167780102	0.128088573933003	24	24	1.13394367580903e-05	0.0029994639166561	FL
K00230	Trt	AT	-1.50030163080648	0.247606113442583	24	24	1.27630453956687e-05	0.0030464749352814	FL
K16043	Trt	AT	1.62513293035583	0.267544588939744	24	24	1.23923893534271e-05	0.0030464749352814	FL
K01703	Trt	AT	0.603503818123503	0.0994510693669959	24	24	1.25366428097396e-05	0.0030464749352814	FL
K08966	Trt	AT	-6.20886073031606	1.01757215853086	24	23	1.17450191308817e-05	0.0030464749352814	FL
K01425	Trt	AT	0.87436469074534	0.143673736122554	24	24	1.21158568362276e-05	0.0030464749352814	FL
K05830	Trt	AT	-3.94772090649469	0.651624757828319	24	22	1.27869547259704e-05	0.0030464749352814	FL
K00380	Trt	AT	1.9989452944215	0.330019157379024	24	24	1.28174860081961e-05	0.0030464749352814	FL
K22481	Trt	AT	-2.50716692345559	0.41675525817954	24	21	1.38969751186035e-05	0.0032547547336111	FL
K11260	Trt	AT	-4.81524927038629	0.817348723401956	24	24	1.40907064686823e-05	0.0032547547336111	FL
K22396	Trt	FV1	2.12810110083186	0.354660066317375	24	24	1.43284320100163e-05	0.0032636984022815	FL
K03152	Trt	AT	0.604578343801997	0.102906171019903	24	24	1.45713514958599e-05	0.0032735638977	FL
K00113	Trt	AT	1.36072844266404	0.232610941889255	24	24	1.53512227649508e-05	0.003306942263111	FL
K17468	Trt	FV2	2.48210541242442	0.416481666042734	24	24	1.55264972109481e-05	0.003306942263111	FL
K00582	Trt	AT	-5.7234853374209	0.976608270919202	24	22	1.50133214965358e-05	0.003306942263111	FL
K00672	Trt	AT	-4.8075105007196	0.821508251704405	24	24	1.52799996079869e-05	0.003306942263111	FL
K21053	Trt	AT	-2.7441714155335	0.461488409813807	24	24	1.5941660299222e-05	0.0033518362680415	FL
K22133	Trt	AT	1.39530288673926	0.235294399294002	24	24	1.64648339282304e-05	0.0034180161572528	FL
K07812	Trt	AT	-1.02791194626433	0.173690152206314	24	24	1.68592169154674e-05	0.0034561394676708	FL
K00579	Trt	AT	-5.36758841953627	0.927018331274469	24	23	1.73693827063063e-05	0.0035167639059681	FL
K11180	Trt	AT	1.31545090017711	0.223637219130985	24	24	1.81073224213226e-05	0.0035180157972685	FL
K17754	Trt	AT	1.23474682210088	0.214016409152032	24	24	1.81344091540821e-05	0.0035180157972685	FL
K01387	Trt	AT	-2.67653403985906	0.464583458750961	24	24	1.84481316198228e-05	0.0035180157972685	FL
K00578	Trt	AT	-5.62105425680962	0.975202128829901	24	23	1.83395335556019e-05	0.0035180157972685	FL
K17468	Trt	AN2	2.44722778933872	0.416481666042734	24	24	1.83287753504495e-05	0.0035180157972685	FL
K13704	Trt	AT	-2.41899204662201	0.413193804600098	24	21	1.91322814113726e-05	0.003606545001684	FL
K00577	Trt	AT	-6.55176994101643	1.1467396244371	24	23	2.03761423331975e-05	0.0037973719802777	FL
K00584	Trt	AT	-5.55812911070178	0.981251067346222	24	23	2.25733131420032e-05	0.0041595768036949	FL
K00758	Trt	AT	-3.59225793331643	0.63588977993082	24	24	2.32997400982405e-05	0.0042457304179016	FL
K16555	Trt	AT	1.49782179150177	0.261111066986957	24	24	2.42188892963101e-05	0.0042959005842106	FL
K01612	Trt	AT	6.2451747326412	1.08755077391674	24	15	2.39254396812926e-05	0.0042959005842106	FL
K07072	Trt	AT	-4.69769437691747	0.837704607453646	24	22	2.54086802846608e-05	0.0042959005842106	FL
K00293	Trt	AT	-3.13755341209485	0.548979797496034	24	24	2.5265945828695e-05	0.0042959005842106	FL
K05881	Trt	AT	1.46819316057504	0.256732411743945	24	24	2.5087822902444e-05	0.0042959005842106	FL
K04093	Trt	AT	-1.46589140661098	0.260765419712273	24	24	2.46904916014756e-05	0.0042959005842106	FL
K17733	Trt	AT	-1.48303219514377	0.264292660251387	24	24	2.52224333734396e-05	0.0042959005842106	FL
K03841	Trt	AT	-1.43958684251024	0.258220573736803	24	24	2.7219172312216e-05	0.0045550451624524	FL
K00580	Trt	AT	-5.33242895914595	0.957887215548493	24	24	2.76901320126291e-05	0.004587052171789	FL
K01092	Trt	AT	-0.659403595119072	0.118957333236796	24	24	2.91037950496361e-05	0.0047044546693787	FL
K01060	Trt	AT	0.802786095659867	0.142087115157978	24	24	2.8812281481097e-05	0.0047044546693787	FL
K00581	Trt	AT	-6.32763393590932	1.14203595321542	24	23	2.92594131875994e-05	0.0047044546693787	FL
K14941	Trt	AT	-6.59221010885308	1.19215437986766	24	23	2.99450769594814e-05	0.0047679540013154	FL
K11780	Trt	AT	-5.52600424759075	1.00202302075805	24	23	3.08946768868926e-05	0.0048254542947146	FL
K13691	Trt	AT	4.56053409023146	0.826367169776897	24	11	3.063997958546e-05	0.0048254542947146	FL
K11181	Trt	AT	1.36733741632254	0.24499949234059	24	24	3.31205944016106e-05	0.0050788845617707	FL
K05973	Trt	AT	1.37580227554919	0.246729886633616	24	24	3.34463129677585e-05	0.0050788845617707	FL
K09903	Trt	AT	-0.245882627510772	0.0448853065933382	24	24	3.33916601534381e-05	0.0050788845617707	FL
K08310	Trt	AT	-2.02675591573664	0.37163149056589	24	24	3.51555247876516e-05	0.005289455105665	FL
K18933	Trt	AT	-5.54263837708728	1.02051621958726	24	23	3.68673227429813e-05	0.0054482567126217	FL
K01948	Trt	AT	3.58977100944644	0.649431695398655	24	24	3.69104988330734e-05	0.0054482567126217	FL
K00440	Trt	AT	-5.78910418015226	1.06757292521622	24	24	3.75398175930644e-05	0.0054482567126217	FL
K17488	Trt	AT	-3.25586191613757	0.600327510643138	24	24	3.74763809557905e-05	0.0054482567126217	FL
K00320	Trt	AT	-6.26356751571782	1.15644175263132	24	24	3.80554488293322e-05	0.0054746435157986	FL
K13812	Trt	AT	-6.53388668803073	1.20806387629755	24	23	3.86802442696685e-05	0.0055161391828049	FL
K01593	Trt	AT	-0.99306970496331	0.180810810841198	24	24	3.96528604242078e-05	0.0055582952430581	FL
K00020	Trt	AT	0.766289835984832	0.139520665730976	24	24	3.96536916730369e-05	0.0055582952430581	FL
K06914	Trt	AT	-5.77465334783162	1.07230950688117	24	23	4.06417952061406e-05	0.005648520689667	FL
K06209	Trt	AT	0.823014500548514	0.150656156933019	24	24	4.21047301535083e-05	0.0058026686934246	FL
K20741	Trt	AT	-2.58089286181028	0.481377530870247	24	21	4.27475451989186e-05	0.0058421645105188	FL
K01089	Trt	AT	0.857267748057362	0.16002722137593	24	24	4.3154991538622e-05	0.0058491062911851	FL
K03638	Trt	AT	-1.79161240820476	0.335457346513815	24	24	4.46688700296702e-05	0.0059843772240376	FL
K06034	Trt	AT	-3.00248220951114	0.552784164961443	24	24	4.48828291802824e-05	0.0059843772240376	FL
K01297	Trt	AT	-0.720860747638441	0.134107491208998	24	24	5.03655326513484e-05	0.0065760844963908	FL
K00459	Trt	AT	0.680406985237599	0.126708469494978	24	24	5.09245567708316e-05	0.0065760844963908	FL
K16371	Trt	AT	1.13673771367094	0.2115411400083	24	24	5.05356378783547e-05	0.0065760844963908	FL
K00319	Trt	AT	-6.06439965372624	1.14804303331784	24	22	5.05932134194527e-05	0.0065760844963908	FL
K00806	Trt	AT	-0.211522973212747	0.0394487356645725	24	24	5.17556293512783e-05	0.0066311900106325	FL
K15357	Trt	AT	1.62542398140224	0.303484951389265	24	24	5.24080726720675e-05	0.0066627317195496	FL
K02818	Trt	AT	1.05107339912005	0.197454136362447	24	24	5.60534458249313e-05	0.0067929714067025	FL
K11180	Trt	FV2	1.19096462357988	0.223637219130985	24	24	5.57885047600336e-05	0.0067929714067025	FL
K01885	Trt	AT	-0.340307518730674	0.0638404607662056	24	24	5.51997144380066e-05	0.0067929714067025	FL
K15876	Trt	AT	1.42734406696309	0.267692905177609	24	24	5.50380159834831e-05	0.0067929714067025	FL
K18209	Trt	AT	-2.34620129018692	0.448163708182461	24	24	5.59681738231091e-05	0.0067929714067025	FL
K03146	Trt	AT	1.02005079780637	0.191713062813231	24	24	5.63319580068018e-05	0.0067929714067025	FL
K02819	Trt	AT	1.05107339912005	0.197454136362447	24	24	5.60534458249313e-05	0.0067929714067025	FL
K03750	Trt	AT	-1.15004016996168	0.220208444426734	24	24	5.75028045467544e-05	0.0068336666272954	FL
K00124	Trt	AT	0.846655215690015	0.162012897088903	24	24	5.70925938104993e-05	0.0068336666272954	FL
K00203	Trt	AT	-5.45774165617738	1.04687269594196	24	24	5.86384166045927e-05	0.0068690716593951	FL
K00881	Trt	AT	1.01164291691477	0.190758252467729	24	24	5.83903822227518e-05	0.0068690716593951	FL
K08304	Trt	AT	-2.51193489688455	0.474391534004097	24	24	5.93851728154757e-05	0.0069072115898851	FL
K09011	Trt	AT	0.716775676145024	0.135540311495312	24	24	6.02206486924313e-05	0.0069287152619043	FL
K12743	Trt	AT	-2.46096053002685	0.465796528513783	24	24	6.08374998606238e-05	0.0069287152619043	FL
K19199	Trt	AT	1.56590103417702	0.301170904112848	24	24	6.04244077937797e-05	0.0069287152619043	FL
K15498	Trt	AT	1.92288439496556	0.366101743222554	24	24	6.48565228331772e-05	0.0072911495117906	FL
K18028	Trt	AT	1.28473798122124	0.244622053780378	24	24	6.49090139464285e-05	0.0072911495117906	FL
K17466	Trt	AT	3.77151729286342	0.730616503633891	24	24	6.54559878695123e-05	0.0073025727963265	FL
K04115	Trt	AT	0.744863621955122	0.142310291294274	24	24	6.73465842258077e-05	0.0074126441698204	FL
K01665	Trt	AT	1.88731238257814	0.360450641974686	24	24	6.7082853684441e-05	0.0074126441698204	FL
K00443	Trt	AT	-5.84414971243894	1.13595894796474	24	24	6.79522862823425e-05	0.0074294499668694	FL
K17529	Trt	AT	2.94217778327077	0.572350700118769	24	7	6.85639387071388e-05	0.0074466794357422	FL
K06162	Trt	AT	1.49969464438959	0.292322642257532	24	24	7.00911902958028e-05	0.0075624705319155	FL
K20862	Trt	AT	1.22735800645286	0.239616289565233	24	24	7.13220243072509e-05	0.0076099235864411	FL
K02626	Trt	AT	-4.11209376977741	0.802941139547508	24	24	7.14590385556059e-05	0.0076099235864411	FL
K02113	Trt	AT	-0.278855823529698	0.0545316409362777	24	24	7.26434745856828e-05	0.0076368780974692	FL
K01874	Trt	AT	-0.213899939631424	0.0418114274508911	24	24	7.23044397657761e-05	0.0076368780974692	FL
K07142	Trt	AT	-2.02663263005392	0.397347781619102	24	24	7.47464518974903e-05	0.0078079096249607	FL
K19204	Trt	AT	-3.52322266227788	0.680771800967529	24	22	7.60539684819627e-05	0.0078942093867353	FL
K01491	Trt	AT	-0.192843794183306	0.0379826639549496	24	24	7.8587172468113e-05	0.0079557384473892	FL
K00202	Trt	AT	-5.08922846346815	1.00089997216387	24	24	7.73266076535122e-05	0.0079557384473892	FL
K05827	Trt	AT	-2.71214260457803	0.525155367937041	24	24	7.77891455937689e-05	0.0079557384473892	FL
K12507	Trt	AT	1.63981132703983	0.322923656956193	24	24	7.84411302031661e-05	0.0079557384473892	FL
K01476	Trt	AT	-2.06035897645991	0.400157355789608	24	24	8.03462791269882e-05	0.0080839201084822	FL
K17468	Trt	AN1	2.13538096429422	0.416481666042734	24	24	8.40476971741778e-05	0.0084047697174177	FL
K00205	Trt	AT	-4.70584286952041	0.934364308488116	24	24	8.581166346413e-05	0.0085291592776468	FL
K02812	Trt	AT	4.45029651113859	0.870573813951368	24	20	8.67608383437491e-05	0.0085715527038402	FL
K11181	Trt	FV2	1.24703452180293	0.24499949234059	24	24	9.0819382263148e-05	0.0088955851693061	FL
K00442	Trt	AT	-6.17973344628276	1.23381924763626	24	22	9.11255066124049e-05	0.0088955851693061	FL
K01666	Trt	AT	0.81066628937501	0.159540373206251	24	24	9.24776743504469e-05	0.008974164848209	FL
K15912	Trt	AT	1.32400329785867	0.265524327144318	24	24	9.56211994405655e-05	0.0092246333577957	FL
K01706	Trt	AT	0.911716590774993	0.180288354065421	24	24	9.72775416596651e-05	0.0093295420071257	FL
K22396	Trt	AN2	1.78624500608246	0.354660066317375	24	24	0.000101528762236	0.0096246919113966	FL
K00066	Trt	AT	0.731135102850567	0.145140133483494	24	24	0.0001013288449293	0.0096246919113966	FL
K11427	Trt	FV2	5.53245965576336	1.10101074999873	24	20	0.0001040207565163	0.0096928432208407	FL
K21814	Trt	AT	1.61952930250981	0.322204527881733	24	24	0.0001036930898219	0.0096928432208407	FL
K03651	Trt	AT	0.884012631374509	0.175753775462582	24	24	0.000102951700342	0.0096928432208407	FL
K13821	Trt	AT	2.02553651342111	0.404535433815832	24	24	0.000107969905851	0.0100039912765937	FL
K17362	Trt	AT	2.03633291360341	0.407713547639046	24	24	0.0001108423810521	0.0102124440969418	FL
K09739	Trt	AT	-2.95414338950864	0.601807944684889	24	24	0.0001131498458627	0.0103668015203855	FL
K01198	Trt	AT	0.626922441443179	0.125884977527656	24	24	0.0001142344298173	0.0104080258278045	FL
K22214	Trt	AT	1.09239730476505	0.219703862366799	24	24	0.0001161615422661	0.0105251342163782	FL
K06119	Trt	AT	-2.46870721131453	0.504577714921953	24	24	0.0001171951959173	0.0105604462255152	FL
K00004	Trt	AT	0.932151999727268	0.190732775263159	24	24	0.0001185810509604	0.0106269357144846	FL
K14358	Trt	AT	1.08635973650604	0.222570017872339	24	24	0.0001202002163474	0.0107134975440134	FL
K00171	Trt	AT	-1.70773001065463	0.346332108384197	24	24	0.0001266544313957	0.0111094475936849	FL
K00112	Trt	AT	1.10139696469749	0.226770675971802	24	24	0.0001266747987816	0.0111094475936849	FL
K17623	Trt	AT	0.713665032808549	0.144657453755032	24	24	0.0001259703577106	0.0111094475936849	FL
K15022	Trt	AT	0.620363640907343	0.126399733201054	24	24	0.0001329107736924	0.011594344088063	FL
K18106	Trt	AT	1.57835091108587	0.326781623000904	24	24	0.0001343180148135	0.0116551081637137	FL
K13695	Trt	AT	1.2053650526439	0.246033206687606	24	24	0.0001353794640955	0.0116853853219312	FL
K17104	Trt	AT	-5.10251185164428	1.05844783603924	24	24	0.0001370508114079	0.0117677136496919	FL
K01058	Trt	AT	1.9485598869026	0.398984196133285	24	24	0.0001398351549791	0.011944252821132	FL
K18118	Trt	AT	0.737620223967399	0.151222948364436	24	24	0.0001416424941003	0.0120359425038632	FL
K01739	Trt	AT	0.639780921059955	0.131331783474013	24	24	0.0001435077584211	0.0121315837015816	FL
K01062	Trt	AT	2.22091006880817	0.456467395415197	24	24	0.0001453496185529	0.0121619068585136	FL
K03788	Trt	AT	3.22143895345991	0.671756091298177	24	11	0.0001447979308829	0.0121619068585136	FL
K17468	Trt	FV1	2.02519235968331	0.416481666042734	24	24	0.0001462121699262	0.0121719775979202	FL
K08786	Trt	AT	3.74443577173033	0.772371903948121	24	9	0.0001507962807728	0.0124901969933081	FL
K11427	Trt	FV1	5.3328131507728	1.10101074999873	24	20	0.0001522042440007	0.012543465334737	FL
K01202	Trt	AN1	1.23383377653737	0.255089859673719	24	24	0.0001543704592615	0.0125605481507929	FL
K16846	Trt	AN2	1.84323392871299	0.386808336770044	24	24	0.0001547091906378	0.0125605481507929	FL
K07732	Trt	AT	-2.23138083023384	0.468242473649548	24	24	0.0001546414488167	0.0125605481507929	FL
K14154	Trt	AT	0.97192121977893	0.201150029294487	24	24	0.000156019214035	0.0126045079318933	FL
K07010	Trt	AT	-0.549470050989881	0.113955981976497	24	24	0.0001593619777093	0.0128114531099693	FL
K13831	Trt	AT	-2.20754353077827	0.465018961656721	24	24	0.0001609284911042	0.0128117827869415	FL
K00170	Trt	AT	-1.00716686639424	0.212122977519173	24	24	0.000160639787628	0.0128117827869415	FL
K00005	Trt	AT	0.752833284223439	0.158674368205191	24	24	0.0001618797552548	0.0128252559718826	FL
K01305	Trt	AT	0.952917101558238	0.198028654845879	24	24	0.0001626788509428	0.0128266017089579	FL
K02371	Trt	AT	0.885386646386978	0.186891237546363	24	24	0.0001644043949485	0.0128704844552318	FL
K08322	Trt	AT	0.926114200378931	0.195534093653666	24	24	0.0001648049838779	0.0128704844552318	FL
K00086	Trt	AT	1.17290169427006	0.244703659023809	24	24	0.000169292010786	0.0131582415966412	FL
K17467	Trt	AT	4.47684003396201	0.934662150696807	24	24	0.0001704971773314	0.0131894042841346	FL
K05356	Trt	AT	-5.32438133325581	1.1125487263785	24	18	0.0001719607081499	0.0132401672002752	FL
K01176	Trt	AT	0.925572015786738	0.193607909613622	24	24	0.0001738245451794	0.0133211333688931	FL
K03422	Trt	AT	-3.44881191098371	0.734833959313225	24	24	0.0001810811199427	0.013812699381678	FL
K00399	Trt	AT	-3.34694487311196	0.713970871107045	24	24	0.0001832901379615	0.0139164734378224	FL
K01687	Trt	AT	0.478190564759208	0.100617884152355	24	24	0.000184476301645	0.0139419877740935	FL
K17105	Trt	AT	-4.46161132170069	0.953118761662757	24	24	0.0001860117955494	0.0139625070962196	FL
K15888	Trt	AT	-3.17861558254563	0.679192681403797	24	24	0.0001864505520775	0.0139625070962196	FL
K00207	Trt	AN2	-2.05139371851439	0.439116538814734	24	24	0.0001898970659058	0.0141559630947963	FL
K01812	Trt	AT	0.529185834553182	0.113403347583586	24	24	0.0001920899303137	0.0142389945384077	FL
K17716	Trt	AT	-0.742266028561866	0.156866519647297	24	24	0.000192747365093	0.0142389945384077	FL
K00883	Trt	AT	1.36309199654293	0.2883975390709	24	24	0.000194964838782	0.0143382213274705	FL
K02771	Trt	AT	1.32842976086192	0.281654453933795	24	24	0.000199104373289	0.0145772844729465	FL
K17489	Trt	AT	0.681460031543678	0.144726649871942	24	24	0.0002024776952827	0.0147583742339418	FL
K01783	Trt	AT	-0.219548970204642	0.047332078296802	24	24	0.0002042297325551	0.0148092653245906	FL
K14082	Trt	AT	-4.6675812010179	0.993813415340465	24	22	0.0002076826458579	0.0148092653245906	FL
K15777	Trt	AT	1.14912914550453	0.24446894089937	24	24	0.0002059822119779	0.0148092653245906	FL
K00207	Trt	FV2	-2.03347359441447	0.439116538814734	24	24	0.0002076909161375	0.0148092653245906	FL
K00339	Trt	AT	0.663415503709471	0.141131921022617	24	24	0.0002059102531413	0.0148092653245906	FL
K17464	Trt	AT	2.43465885357903	0.526592461535013	24	12	0.0002110980605724	0.0149101024616818	FL
K00981	Trt	AT	-0.212058677025398	0.045919636497019	24	24	0.0002136092213677	0.0149101024616818	FL
K10211	Trt	AT	-1.43898392880758	0.312579765262625	24	24	0.0002205096537752	0.0149101024616818	FL
K03077	Trt	AT	0.463623720298353	0.0992721471538454	24	24	0.0002196603115205	0.0149101024616818	FL
K01026	Trt	AT	0.842094107143847	0.182921987857113	24	24	0.0002205115394321	0.0149101024616818	FL
K16123	Trt	AT	1.30830977197756	0.279570272332297	24	24	0.0002152780743606	0.0149101024616818	FL
K04109	Trt	AT	-2.7322792172679	0.585351113083798	24	22	0.0002208152676832	0.0149101024616818	FL
K03707	Trt	AT	1.05974362257328	0.229862403553366	24	24	0.0002172545811933	0.0149101024616818	FL
K00764	Trt	AT	0.239175235199457	0.0512762069945616	24	24	0.0002223749976725	0.0149101024616818	FL
K16874	Trt	AT	-1.90440253806599	0.414091361711617	24	24	0.0002227423843361	0.0149101024616818	FL
K00021	Trt	AT	-2.58994224899983	0.561846269947952	24	24	0.0002175603878235	0.0149101024616818	FL
K05573	Trt	AT	-4.91460475368486	1.05161167490964	24	18	0.0002181846727049	0.0149101024616818	FL
K03271	Trt	AT	-0.949615862009976	0.205523220756864	24	24	0.0002124668171634	0.0149101024616818	FL
K01658	Trt	AT	0.563714518836083	0.122438058055313	24	24	0.0002202646443159	0.0149101024616818	FL
K03421	Trt	AT	-2.33647240680212	0.507779139848659	24	24	0.0002215874687188	0.0149101024616818	FL
K13995	Trt	AT	1.76644949452126	0.384510682592265	24	24	0.000225190936146	0.0150127290764054	FL
K18281	Trt	AT	-2.64703205434324	0.569368628144897	24	22	0.0002297666300034	0.0151942448873262	FL
K03737	Trt	AT	-0.300719536201278	0.0655784949045034	24	24	0.0002293782369923	0.0151942448873262	FL
K00604	Trt	AT	-0.473015659601613	0.103345249808487	24	24	0.0002337591057335	0.0152481161686797	FL
K01676	Trt	AT	0.849637229030766	0.183263071217549	24	24	0.0002361598479783	0.0152481161686797	FL
K00796	Trt	AT	-0.255635006991571	0.0550426268244339	24	24	0.0002321021101858	0.0152481161686797	FL
K00402	Trt	AT	-3.33656740472554	0.729458915762533	24	24	0.0002353137631028	0.0152481161686797	FL
K05878	Trt	AT	0.853892878105841	0.184060037534918	24	24	0.0002346341680993	0.0152481161686797	FL
K01729	Trt	AN2	2.35402345984992	0.507088115372084	24	24	0.0002331273023612	0.0152481161686797	FL
K02848	Trt	AT	-2.82335342411517	0.618433581291298	24	24	0.0002398630523804	0.015426486506036	FL
K08850	Trt	AT	1.04207254939293	0.225406437893686	24	24	0.0002428250722074	0.0155559811882867	FL
K01804	Trt	AT	0.523220508413597	0.113380744979566	24	24	0.000247186219667	0.0157708289508454	FL
K02111	Trt	AT	-0.236598960524431	0.0512897831428462	24	24	0.0002481020652023	0.0157708289508454	FL
K16177	Trt	AT	-4.50017327664789	0.97844755045124	24	23	0.0002554402553432	0.0161247406065749	FL
K08814	Trt	FV2	-4.55234752386971	0.989932093725688	24	23	0.0002558035771361	0.0161247406065749	FL
K00400	Trt	AT	-3.32901446317105	0.734125409304886	24	24	0.0002566193474582	0.0161247406065749	FL
K01130	Trt	AT	0.865831883131669	0.189153854513769	24	24	0.0002676492190027	0.016639965793852	FL
K02549	Trt	AT	0.794805194299636	0.173524341718943	24	24	0.0002659475312657	0.016639965793852	FL
K00111	Trt	AT	0.599655220922433	0.131014310786984	24	24	0.0002678628639985	0.016639965793852	FL
K08357	Trt	AT	1.22432392165766	0.271620828017245	24	24	0.0002724709034849	0.0168623502534078	FL
K00150	Trt	AT	-1.60228911039171	0.355845074364559	24	24	0.0002753113089733	0.0169105073676526	FL
K00330	Trt	AT	0.585062485039379	0.128162866473137	24	24	0.0002748239897339	0.0169105073676526	FL
K03743	Trt	AT	0.569615392041988	0.124869928650475	24	24	0.000276778928905	0.0169372180374715	FL
K07029	Trt	AT	-0.198412997695935	0.0435302215184501	24	24	0.0002789241013395	0.0169817073099899	FL
K02115	Trt	AT	-0.251264133399634	0.0559094669434418	24	24	0.000280612358598	0.0169817073099899	FL
K20877	Trt	AT	5.52955207538634	1.23033739508433	24	21	0.00028048055784	0.0169817073099899	FL
K02619	Trt	AT	1.94085201809772	0.426357556818672	24	24	0.0002824482055505	0.0170299653346682	FL
K00207	Trt	AT	-1.97090019705857	0.439116538814734	24	24	0.0002842225464755	0.0170385807525133	FL
K02110	Trt	AT	-0.225558786477728	0.0495897123223881	24	24	0.000284668971109	0.0170385807525133	FL
K18285	Trt	AT	0.8386254847163	0.18451661556707	24	24	0.0002868121482219	0.0170989585924686	FL
K05829	Trt	AT	-3.14676046518517	0.693780103163798	24	23	0.000292572436744	0.0170989585924686	FL
K01000	Trt	AT	-0.235035930257826	0.0524490220153948	24	24	0.0002887132363493	0.0170989585924686	FL
K16306	Trt	AT	-3.5297880967026	0.788852606332241	24	24	0.0002929760588099	0.0170989585924686	FL
K01686	Trt	AT	0.539084127013664	0.118786967985751	24	24	0.0002909717476142	0.0170989585924686	FL
K08097	Trt	AT	-2.18956959197583	0.482499620454085	24	24	0.0002911404240537	0.0170989585924686	FL
K18532	Trt	AT	-2.91286326248056	0.650472349736884	24	24	0.0002907287320483	0.0170989585924686	FL
K14067	Trt	AT	-4.4518182498289	0.983123773467529	24	15	0.0002972568667318	0.0171262842643931	FL
K22026	Trt	AT	-2.4907802545482	0.557495222555739	24	24	0.0002973935133122	0.0171262842643931	FL
K09722	Trt	AT	-3.05823042607265	0.684557084752226	24	24	0.0002976214033751	0.0171262842643931	FL
K06165	Trt	AT	3.55211990765981	0.784211182727785	24	23	0.0002964299470404	0.0171262842643931	FL
K01573	Trt	AT	0.912212577549362	0.204348458896686	24	24	0.0002998992522054	0.0171970200565369	FL
K01665	Trt	AN1	1.62919676218587	0.360450641974685	24	24	0.0003026073352249	0.0172918477271377	FL
K18009	Trt	AT	0.711508701200999	0.157538761998422	24	24	0.0003048692751194	0.0173423944094137	FL
K15668	Trt	AT	-1.6453631627901	0.36452991742902	24	24	0.0003066642913859	0.0173423944094137	FL
K02201	Trt	AT	-2.83970958050331	0.637386358324175	24	24	0.0003057599077737	0.0173423944094137	FL
K19664	Trt	AT	-2.49389207599659	0.560513882259757	24	24	0.0003098009227861	0.0174595709061608	FL
K19355	Trt	AT	0.757470094841122	0.168100891189446	24	24	0.0003116959949202	0.0175062134133319	FL
K15669	Trt	AT	-1.85621800862076	0.41790442033391	24	24	0.0003150231684253	0.0176326961166423	FL
K11180	Trt	AN2	1.00547061616192	0.223637219130985	24	24	0.0003184706100158	0.0177650272253729	FL
K09933	Trt	FV2	1.77243555887015	0.399681674453257	24	24	0.0003200114601066	0.0177904676127076	FL
K13607	Trt	AT	1.26016182532654	0.280561935613379	24	24	0.0003214998884542	0.0178128316576015	FL
K05577	Trt	FV2	-3.78005252264183	0.842721814774099	24	23	0.0003256781368465	0.0179835738864772	FL
K19712	Trt	AT	-3.46915855047358	0.784558465819171	24	24	0.0003292085673828	0.018117518473416	FL
K05310	Trt	AT	2.65051562761027	0.592514481332841	24	24	0.000334288686987	0.018213735769393	FL
K01209	Trt	AT	0.603139518972403	0.134778089992912	24	24	0.0003330592354588	0.018213735769393	FL
K12993	Trt	AT	-1.95350659546632	0.436672421885276	24	24	0.0003340844562915	0.018213735769393	FL
K09667	Trt	AT	1.34581517861126	0.301052726246284	24	24	0.0003364229463366	0.0182428468359481	FL
K00210	Trt	AT	0.794850947783074	0.177839091159501	24	24	0.0003370477189812	0.0182428468359481	FL
K03332	Trt	AT	0.766424161073424	0.171761456331374	24	24	0.0003423955031639	0.018471336354895	FL
K01685	Trt	AT	0.542631239673909	0.12339192212551	24	24	0.0003472842249584	0.0186736435715383	FL
K00041	Trt	AT	0.540597724396328	0.123000809787384	24	24	0.0003492479598979	0.0187178645174039	FL
K02575	Trt	AT	1.25824534647193	0.286462828720539	24	24	0.0003513582644867	0.0187251950248111	FL
