feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	sType
K16874	Trt	AT	-2.94059570891356	0.356098402029585	24	24	1.55539426119001e-07	4.19817576033696e-05	FR
K01458	Trt	AT	-4.49004268513191	0.532169443142969	24	24	1.75547675945249e-07	4.6550931963376e-05	FR
K17104	Trt	AT	-2.51269273008199	0.298431138271436	24	24	1.80703436330668e-07	4.70919386230697e-05	FR
K10764	Trt	AT	3.49840236831449	0.416623127651275	24	11	1.87578855982128e-07	4.80551594605062e-05	FR
K00197	Trt	AT	-2.91283125589099	0.349197281302967	24	24	2.05636889021343e-07	5.18033596259599e-05	FR
K01729	Trt	AN1	5.23641477804155	0.648754139480185	24	24	2.15855998286435e-07	5.34862854770403e-05	FR
K03422	Trt	AT	-5.3532782292661	0.666832178178242	24	23	2.33198899413635e-07	5.68516349135014e-05	FR
K00443	Trt	AT	-6.55835997638718	0.819479595906489	24	22	2.43732546473689e-07	5.84764673007906e-05	FR
K08596	Trt	FV2	6.15679746468896	0.748583919527167	24	15	2.49852385057765e-07	5.90081062523143e-05	FR
K09722	Trt	AT	-3.93462823267988	0.48169563750298	24	23	2.74590883920091e-07	6.30292378857126e-05	FR
K00580	Trt	AT	-6.45559152904415	0.813560395714881	24	22	2.75218637145685e-07	6.30292378857126e-05	FR
K21611	Trt	AT	-5.28326402671449	0.669962920906655	24	22	3.00521602790212e-07	6.77967765100606e-05	FR
K02694	Trt	FV2	5.02524687883976	0.622401988391832	24	16	3.21938370637272e-07	7.15602716497407e-05	FR
K01499	Trt	AT	-3.87728862321423	0.495632758127676	24	24	3.36593579342462e-07	7.30802033710764e-05	FR
K21053	Trt	AT	-4.4962981206228	0.575908138921215	24	24	3.46196081133728e-07	7.30802033710764e-05	FR
K08906	Trt	FV1	4.95390349084928	0.617089977856517	24	16	3.48116086187066e-07	7.30802033710764e-05	FR
K02640	Trt	FV1	4.77892381337978	0.594519709081242	24	16	3.41996392535044e-07	7.30802033710764e-05	FR
K02718	Trt	FV2	4.10409142881659	0.513250115694036	24	18	3.67312102364346e-07	7.60537318799601e-05	FR
K22011	Trt	AT	-4.40157844901864	0.567795951644406	24	23	3.82607999444747e-07	7.81502690757751e-05	FR
K08903	Trt	FV1	5.38551225630387	0.704323862906672	24	15	4.63750729480777e-07	9.34612303480259e-05	FR
K15888	Trt	AT	-4.22894333054154	0.540007709142351	24	24	4.87311258289688e-07	9.6917232487482e-05	FR
K09733	Trt	AT	-4.44561263267072	0.584079440992017	24	21	4.94451953242576e-07	9.70602762761239e-05	FR
K11212	Trt	AT	-5.4866360033339	0.727718790865603	24	23	5.64156473088685e-07	0.0001093233985991	FR
K17488	Trt	AT	-4.84036899112753	0.646333844365498	24	23	6.19279443650389e-07	0.000118486187225	FR
