	s100	s102	s104	s106	s108	s110	s11	s123	s124	s125	s126	s127	s128	s129	s130	s131	s132	s133	s134	s13	s15	s17	s19	s1	s21	s23	s25	s27	s29	s31	s44	s45	s46	s47	s48	s49	s4	s50	s51	s52	s53	s54	s55	s80	s83	s88	s90	s92	s94	s96	s98	s9
rstcMAG_005 Bacteroidaceae (Ga6A1 sp900102385)	36371.164	18797.622	18309.448	6567.594	9886.103	26936.673	1584.263	547.914	907.388	516.263	785.799	592.298	774.484	6532.91	697.011	765.829	594.212	625.202	925.945	1707.893	2348.88	2381.885	1439.524	4503.411	5738.274	17215.489	1780.301	2492.405	1773.589	2349.297	534.036	614.126	453.193	468.724	657.597	598.718	5322.275	4050.016	3767.135	588.854	460.455	821.666	479.46	3828.719	5046.298	4934.273	19623.699	11088.428	8888.523	32357.668	24513.349	1608.267
rstcMAG_007 Prevotella (sp905236755)	72715.697	62841.633	97396.579	25007.672	55340.798	77216.494	8225.08	3677.632	3807.264	3553.488	3691.458	3219.463	5007.317	28956.526	4593.69	6940.472	4316.454	4434.6	4690.561	19223.523	14579.744	20071.227	12828.827	4447.127	18232.88	39512.672	11020.81	17878.111	14344.565	11729.687	6148.835	1895.909	3441.008	2565.29	3452.668	2274.243	6671.102	22363.798	25523.762	5759.062	4604.444	3598.177	2586.787	3578.086	5408.911	21538.391	62036.43	33777.551	24854.703	102614.644	59962.781	11626.109
rstcMAG_010 Gastranaerophilaceae (RGIG6874)	586.033	518.307	807.434	1002.307	793.047	619.574	358.097	5523.922	6172.008	6213.113	6225.571	7783.213	6626.896	2033.56	2645.438	3664.026	7321.403	7484.967	4501.584	330.065	319.169	316.473	296.058	1835.422	336.137	294.001	343.865	272.697	326.472	326.34	566.091	1026.818	361.075	245.004	311.006	376.061	1960.143	353.573	487.832	206.585	194.604	265.115	181.408	1754.662	2717.021	700.275	625.455	883.103	773.099	564.485	770.578	315.756
rstcMAG_014 Faecousia	109.795	147.679	409.42	273.391	294.472	469.535	405.583	865.724	1084.361	1783.853	1897.114	1786.405	1597.594	514.955	962.923	1446.147	1655.327	2261.419	3397.779	2096.557	770.943	915.736	760.217	10183.211	173.42	163.21	620.763	637.669	709.747	747.039	1140.999	717.911	2495.215	1407.935	1972.902	1075.905	2412.611	613.552	548.678	1136.824	579.287	2660.417	1051.936	10925.623	3660.262	117.643	281.315	157.961	270.449	227.006	336.983	610.931
rstcMAG_015 Bacteroidaceae (UBA6382 sp900316315)	78.496	495.888	100.418	38.266	82.489	209.184	1014.287	81.368	82.407	169.225	103.642	102.684	100.133	203.307	222.731	113.357	114.79	131.952	135.488	1468.101	971.492	1043.45	1327.284	872.587	1099.079	1309.086	1213.634	1858.706	1185.258	1135.536	571.937	250.509	366.13	398.255	329.682	270.966	1013.236	1963.249	1528.963	413.772	518.135	250.093	278.148	831.674	1045.805	29.199	85.337	69.761	60.51	127.353	126.678	954.697
rstcMAG_017 Lachnospiraceae (NK4A144 sp900114405)	3189.75	3343.005	7482.237	2832.834	4088.855	6827.796	8122.465	282.931	478.967	180.052	402.673	155.051	213.292	201.379	176.997	281.185	261.378	223.622	283.168	4383.234	14168.652	6886.171	5056.292	1569.543	979.071	1412.767	8952.544	5279.26	3143.901	4490.419	768.989	316.921	284.431	887.579	487.838	457.686	677.392	329.134	259.975	1022.087	1040.46	390.107	310.81	1308.244	908.89	3207.829	5514.499	3853.573	7369.266	11680.433	6340.881	5805.603
rstcMAG_018 Cryptobacteroides (sp900316045)	566.733	1166.898	103.13	81.191	86.915	116.516	4058.442	191.48	130.503	360.186	205.293	142.533	222.57	2480.873	3542.549	167.579	168.319	174.594	234.937	8675.626	5546.099	5346.026	6916.944	1065.505	4085.112	9615.065	5483.076	6691.185	5177.425	7128.536	3615.665	1685.831	5998.703	3974.034	5364.035	3891.557	631.724	8680.336	10929.392	5224.089	4283.3	3547.553	5120.343	1119.327	724.535	212.882	145.014	91.899	127.246	89.164	130.401	5550.022
rstcMAG_020 Anaerovoracaceae (RUG11894)	137.518	286.603	261.004	151.196	297.609	203.817	286.252	1600.664	3198.313	1895.269	1308.033	1960.069	1998.097	1316.166	3076.021	2206.748	2456.871	2636.729	2115.844	361.735	260.18	258.815	341.245	4531.141	234.41	210.908	275.659	288.827	326.749	372.223	712.3	505.203	1943.483	356.946	1635.359	375.196	1151.848	1332.794	955.352	368.91	434.737	2249.06	586.872	5187.797	1594.487	145.083	235.952	136.564	162.551	195.229	226.706	314.144
rstcMAG_032 Oscillospirales (CAG-272)	15.548	82.893	124.099	177.317	95.694	104.646	87.006	1393.266	2225.285	2430.071	2569.609	2043.101	1833.996	89.623	2163.823	1902.439	1816.257	2628.477	2299.17	105.779	111.294	117.071	78.899	1116.413	27.769	29.341	82.715	81.477	96.722	87.43	1801.694	1197.144	713.599	781.54	1007.511	628.052	468.09	101.907	86.708	552.42	499.236	1039.641	592.669	1260.895	755.338	80.212	109.57	100.097	202.845	104.055	167.407	163.648
rstcMAG_034 Oribacterium (sp900318695)	15035.126	14150.073	14579.828	10118.046	12416.146	17982.73	3690.027	1296.773	2318.111	1570.407	1979.736	1214.506	2392.677	3757.49	2036.172	2765.587	1704.777	1984.86	2401.018	5937.217	3654.125	4568.633	3295.957	1234.087	3945.333	4905.604	3095.441	4014.486	3735.409	2890.036	1527.136	813.342	1792.868	1507.461	1757.869	1234.733	860.377	3988.946	3830.742	1943.891	3236.135	1792.732	1688.17	1059.508	921.676	5711.613	11044.191	9201.049	7495.223	14445.381	14280.348	2248.062
rstcMAG_036 Candidatus Limosilactobacillus merdipullorum	1420.844	803.745	429.12	774.53	523.636	331.293	4649.662	117.863	116.126	119.472	128.831	125.734	123.627	244.286	139.604	145.911	115.783	141.202	126.897	1847.732	4523.348	3383.039	2229.072	315.738	9783.086	4104.623	447.516	2338.137	3339.239	2050.366	164.298	578.714	400.337	571.834	651.302	512.507	131.384	1929.577	1793.911	146.103	325.132	401.035	360.655	266.971	154.244	1777.739	426.677	835.447	596.232	263.952	548.283	475.732
rstcMAG_042 Hornefia butyriciproducens	423.365	460.611	825.814	202.646	535.513	883.968	2718.136	212.821	256.019	489.687	423.375	223.626	517.169	2647.85	471.766	318.385	282.652	525.536	449.213	4653.02	3541.705	3533.785	3888.048	935.982	1909.5	2437.186	3641.489	4800.801	3631.218	3098.239	587.66	356.642	1207.796	932.923	952.226	594.951	248.784	7469.417	5695.765	281.612	375.219	382.998	278.267	894.273	365.991	152.532	681.382	178.833	303.36	744.184	822.614	2419.045
rstcMAG_043 Elusimicrobiaceae (UBA1436 sp017525025)	144.466	142.195	302.833	694.77	1301.294	304.467	165.379	3367.315	24636.904	1206.642	19061.659	49595.234	3219.539	116.629	277.667	9465.175	20743.902	31310.821	15896.924	125.047	142.045	126.021	136.811	1262.879	102.222	122.985	118.039	119.614	129.491	119.282	539.569	321.113	353.636	1484.756	1180.094	351.34	1379.314	195.856	139.276	512.154	453.098	143.259	139.6	997.706	1101.76	1714.972	668.127	261.488	1642.353	461.722	191.394	122.221
rstcMAG_044 Acidaminococcus fermentans	1584.5	3801.47	5775.511	2032.785	4079.004	5222.073	4437.094	846.304	1280.034	1530.366	684.259	6452.599	710.122	1483.999	1431.166	2214.794	727.847	1615.985	1152.832	6635.426	3813.612	4524.097	5232.163	1249.38	1859.903	3773.702	4765.565	7105.094	7219.291	6643.732	1427.21	1632.114	3360.132	545.951	1155.155	1082.418	515.086	986.994	1965.424	1534.813	1837.134	1585.646	872.482	1185.107	772.83	1858.512	7651.01	1159.801	1181.762	3177.487	3268.128	3028.558
rstcMAG_049 Bilifractor (sp900318405)	4329.984	4833.967	2709.458	478.101	9644.418	3366.424	5473.305	227.963	630.72	393.657	1513.025	1884.316	319.488	2011.252	1643.285	357.995	522.241	2819.052	1267.565	3815.272	14179.705	10965.923	11592.999	2262.339	5158.246	26867.34	51052.248	9959.436	4791.142	39599.462	1137.435	263.213	664.725	304.521	795.447	415.257	678.145	1630.926	3245.256	1090.069	264.3	346.705	424.569	2116.551	1004.736	166.031	4564.836	246.37	2054.611	3991.826	1138.931	23216.04
rstcMAG_054 Pseudoramibacter fermentans	1898.678	15034.658	45755.847	11496.38	43724.561	47386.203	21350.552	5355.618	8522.456	10002.629	12407.468	8330.458	5126.159	2669.863	3195.453	9093.431	11234.179	11202.237	14277.326	89224.909	31729.841	57892.453	32830.011	1611.246	43429.544	40500.052	77272.594	30322.401	87592.537	75160.689	7164.245	1747.068	10918.926	2514.001	4847.045	1592.846	918.408	9921.729	16936.373	1857.838	1104.091	2023.124	1338.952	1627.221	1268.755	12063.309	29625.843	11571.878	12086.611	49742.724	22675.121	56057.385
rstcMAG_057 Weimeria (sp900316165)	111.593	143.997	214.842	90.753	191.765	218.18	255.077	74.39	94.865	86.143	91.389	76.354	90.02	108.304	96.469	87.505	93.098	97.021	101.916	1335.179	168.701	3494.231	269.786	1325.043	175.831	186.762	4448.581	238.88	280.017	1368.563	149.659	62.211	117.193	61.744	101.541	52.995	458.418	116.632	110.916	81.535	67.191	64.894	74.503	1212.728	680.492	83.035	190.118	136.675	111.881	212.346	212.496	3056.392
rstcMAG_058 Lactobacillus amylovorus	314136.864	210785.705	222670.637	428573.878	284068.041	175181.89	154722.172	48585.608	45912.523	33050.232	34343.507	47934.503	40756.678	70768.841	29730.105	53962.804	26794.521	39747.485	41815.083	119129.919	225714.88	204147.158	93712.835	1143.202	184297.015	136762.091	173844.375	135199.167	184518.424	107561.08	44393.956	30808.11	19620.029	25270.777	44765.848	33645.333	1651.442	65365.641	81622.308	21514.589	15867.625	14790.854	11640.762	1048.491	1564.951	577191.67	241243.096	455843.628	395445.507	111361.31	249541.461	273603.846
rstcMAG_059 Bilifractor (sp000702845)	288.946	678.587	612.822	230.835	608.588	503.185	693.62	1228.738	967.544	1857.887	1662.978	1389.708	1579.253	1865.157	3105.717	1566.762	1659.028	2091.739	1924.973	616.463	460.429	499.414	784.693	3680.216	948.628	762.271	624.055	964.78	606.056	718.406	412.515	525.989	746.02	234.455	551.773	217.505	978.799	3405.587	3662.659	219.098	199.408	368.42	304.198	3091.927	1158.247	251.071	479.877	238.154	327.786	478.276	447.817	797.058
rstcMAG_064 Enterocloster bolteae	372.441	399.953	325.655	133.649	343.935	455.356	527.724	117.916	313.771	206.006	297.747	140.255	251.888	445.176	513.072	145.692	142.351	163.525	242.856	537.294	474.951	456.707	650.06	654.178	427.705	618.871	584.256	770.703	534.056	482.53	90.958	124.72	172.347	176.165	134.537	96.638	238.374	453.082	535.287	160.257	176.231	150.907	141.306	645.027	335.728	82.372	317.524	210.7	171.067	362.163	270.387	377.952
rstcMAG_069 Streptococcus equinus	32408.453	16007.157	21432.715	17360.118	14206.762	19176.684	8090.098	7110.665	8611.472	8209.611	7808.086	5641.486	15769.728	28909.362	13053.185	17137.479	12704.807	12039.663	15530.859	14452.096	6436.781	8749.026	4163.771	2100.944	10335.924	9145.601	6318.836	5770.251	9321.324	8419.186	7055.477	5243.499	14574.479	6922.08	9412.278	5515.859	2212.336	22806.215	16337.42	6192.52	5733.466	6262.156	8553.422	2058.567	2460.508	19096.428	27850.702	9086.608	13675.38	14636.278	22058.754	7555.475
rstcMAG_070 Lachnospiraceae (UBA2912 sp900314775)	802.258	773.149	744.939	744.024	808.536	2593.65	42563.539	288.368	611.838	690.527	1969.621	354.246	359.084	475.544	436.75	339.611	367.139	381.799	1180.566	4394.317	15394.069	10688.518	55889.39	2427.794	4610.766	11077.967	4812.14	20528.187	9208.545	13719.057	1491.183	894.358	1020.425	1698.718	1791.615	2262.783	680.049	2695.168	6865.441	504.041	1016.527	797.043	989.279	2386.596	993.328	1000.685	2438.084	924.388	1208.153	781.916	718.577	12645.504
