	s100	s102	s104	s106	s108	s110	s11	s123	s124	s125	s126	s127	s128	s129	s130	s131	s132	s133	s134	s13	s15	s17	s19	s1	s21	s23	s25	s27	s29	s31	s44	s45	s46	s47	s48	s49	s4	s50	s51	s52	s53	s54	s55	s80	s83	s88	s90	s92	s94	s96	s98	s9
rstcMAG_110 Lactobacillus	6511.011	9834.012	2349.6	25886.383	31003.162	9600.236	5676.184	116.715	941.999	244.007	185.491	184.432	860.154	309.028	437.737	229.812	549.858	1220.324	470.616	696.884	1881.634	1055.084	3194.118	94.047	1200.792	2578.515	778.071	7136.111	23282.773	5037.073	137.856	368.396	82.517	135.119	164.142	267.522	139.289	264.441	456.326	83.008	441.911	840.102	361.349	112.174	162.404	1886.019	17577.502	2826.437	2333.611	2010.494	14760.245	962.489
rstcMAG_112 Dysosmobacter (sp017469475)	455.835	829.436	633.078	395.068	622.776	392.378	705.764	515.377	3208.302	2014.38	1796.018	5519.656	3101.658	6780.592	7132.36	3395.911	3142.063	2172.577	3119.824	919.762	467.328	584.45	645.267	5587.409	463.839	479.494	318.792	590.133	690.223	671.756	1071.932	4005.79	2493.592	792.22	2235.899	1588.273	1886.865	4868.971	3679.631	483.784	948.537	2243.397	2651.953	6112.256	2780.894	106.441	428.979	300.888	283.382	643.839	472.667	549.944
rstcMAG_127 Schwartzia succinivorans	6764.338	1932.558	11218.029	1789.797	8834.462	6142.119	3335.004	1252.737	1110.777	1267.439	1620.522	1251.419	1577.186	4511.339	890.34	2613.804	1195.033	2373.691	2041.549	6097.307	5092.754	3822.442	2801.952	813.976	1054.653	1930.439	4050.403	3979.475	3520.967	3151.107	1388.444	397.033	1867.846	816.069	900.539	695.392	756.729	1540.375	1388.552	2411.511	891.715	843.442	499.16	752.181	821.55	2785.186	3644.073	2866.528	2086.14	7199.321	4763.101	2205.045
rstcMAG_130 Oscillospirales (RGIG8002)	76.846	146.564	183.708	211.316	231.742	129.445	181.972	354.358	327.138	1190.845	551.827	534.175	908.495	272.811	519.979	1249.811	1397.474	1475.062	1664.429	184.819	137.345	124.078	175.255	2281.729	119.683	118.945	157.412	150.481	181.867	199.935	255.924	260.72	315.691	262.965	286.927	232.986	1143.611	245.802	228.065	299.476	263.002	366.645	291.16	2638.985	1679.17	99.004	116.3	375.603	151.076	101.509	161.844	178.765
rstcMAG_142 Lentihominibacter	79.126	110.063	355.454	121.854	227.542	486.555	1228.714	726.07	630.769	954.594	801.162	713.987	877.078	1399.446	813.034	828.052	758.7	1042.472	780.889	1772.903	946.82	1144.37	2484.031	2566.58	204.133	180.769	1496.64	2553.884	1459.12	2333.05	716.133	801.373	978.558	846.538	670.938	788.725	594.759	1250.424	578.424	728.186	770.435	927.969	840.158	2763.175	805.233	129.439	270.715	94.277	200.715	439.907	442.195	1055.068
rstcMAG_150 Lentihominibacter	92.649	135.147	403.034	167.983	213.659	201.143	359.308	855.684	784.871	1456.78	815.183	1031.113	1405.321	471.805	1205.933	2214.313	1665.398	1676.051	1067.793	555.398	287.267	333.005	439.69	3051.909	159.353	156.712	504.552	720.008	451.898	807.351	1266.951	1500.763	2145.616	1588.659	1305.579	1497.512	976.905	562.327	495.414	1737.267	1937.308	2396.867	2172.804	3292.611	1441.388	87.123	179.291	90.528	118.489	213.334	224.615	339.733
rstcMAG_155 Ligilactobacillus salivarius	1673.313	48979.29	968.816	63892.448	957.063	26666.117	4193.193	171.228	4083.546	3514.696	2899.13	2693.898	3509.446	262.66	3793.426	227.713	3033.579	187.697	4661.707	6208.129	11386.633	10025.669	9208.254	204.557	9420.768	7195.552	2210.208	6508.397	4713.386	8705.249	3355.135	606.747	570.767	2030.471	1398.42	1689.096	249.066	4614.641	4137.3	316.809	1290.193	237.574	2286.042	205.472	346.426	1943.522	45476.356	53539.605	26263.443	22958.193	35926.357	5555.415
rstcMAG_171 Eremiobacterota (JAKSUM01)	28.266	28.557	151.845	62.623	81.973	105.822	88.947	236.12	117.793	1363.61	714.198	226.722	990.969	52.195	89.154	2061.949	1026.999	3659.341	2622.685	104.955	111.334	92.259	76.767	471.454	31.26	31.677	68.896	210.51	63.975	107.723	268.804	1333.905	1511.403	2136.766	666.754	913.847	278.218	64.203	53.177	392.321	690.22	602.727	891.993	684.25	560.92	24.704	46.175	66.363	44.783	55.608	72.902	61.004
rstcMAG_172 Lactobacillus delbrueckii	5986.734	2182.518	12808.603	1780.397	11580.393	712.38	9682.984	171.65	656.431	223.545	154.552	220.53	152.425	532.74	196.825	1928.071	116.064	805.916	165.825	3661.112	7680.964	5060.222	6655.864	169.013	3847.025	6803.219	8872.783	3887.327	4149.469	3550.291	1352.981	800.79	409.285	611.102	758.044	898.01	54.343	1205.537	3140.324	952.112	360.323	365.591	278.337	179.459	91.897	1817.594	5897.011	4853.562	1868.499	983.827	879.55	7561.758
rstcMAG_173 Anaerovoracaceae (UBA1764)	92.559	215.025	403.676	636.819	209.51	397.558	894.609	11816.81	3735.588	3393.223	9512.519	10517.944	5403.37	255.862	1654.218	1174.255	6222.567	2150.779	4804.188	923.625	820.437	791.07	615.803	1573.962	105.245	135.039	774.212	623.973	444.355	712.266	39015.468	98018.114	41383.025	12683.378	23368.659	23815.118	562.051	306.973	303.098	15625.187	17993.126	12204.471	20162.108	1520.472	935.374	669.281	596.459	290.684	1002.818	1054.231	532.873	999.611
