#OTU ID	s1	s80	s4	s83	s123	s124	s125	s126	s127	s128	s129	s130	s131	s132	s133	s134	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s100	s102	s104	s106	s108	s110	s11	s13	s15	s17	s19	s21	s23	s25	s27	s29	s31	s88	s90	s92	s94	s96	s98	s9
Ethylbenzene degradation	125.0	143.0	0.0	0.0	31.0	22.0	21.0	19.0	10.0	9.0	23.0	21.0	13.0	47.0	11.0	20.0	26.0	6.0	34.0	18.0	29.0	20.0	9.0	4.0	27.0	14.0	25.0	28.0	0.0	0.0	4.0	3.0	6.0	2.0	1.0	2.0	2.0	3.0	4.0	0.0	1.0	1.0	2.0	0.0	6.0	1.0	5.0	0.0	4.0	0.0	0.0	2.0
Fatty acid biosynthesis	345750.0	357527.0	549358.0	491107.0	382978.0	366964.0	375533.0	382584.0	367024.0	361687.0	366471.0	335044.0	373144.0	407586.0	387205.0	342617.0	351671.0	364206.0	296225.0	453599.0	332977.0	495177.0	330274.0	296754.0	322350.0	470407.0	379257.0	465283.0	331481.0	309307.0	286666.0	409523.0	296495.0	293065.0	298637.0	297325.0	312402.0	298792.0	292818.0	337672.0	304269.0	295121.0	280815.0	293007.0	290519.0	475317.0	312026.0	375328.0	388485.0	304161.0	309753.0	301144.0
Fatty acid degradation	27886.0	30888.0	17995.0	19021.0	11296.0	11242.0	11360.0	12150.0	12028.0	12212.0	6404.0	10834.0	11348.0	12803.0	12438.0	12650.0	15034.0	19651.0	45007.0	11894.0	9741.0	12220.0	7945.0	7738.0	44125.0	12820.0	11474.0	12025.0	4078.0	4233.0	7268.0	4197.0	4641.0	5412.0	5028.0	5844.0	5378.0	4605.0	6798.0	4276.0	7102.0	7482.0	5604.0	5365.0	5617.0	4328.0	4215.0	3106.0	4470.0	5359.0	5729.0	5819.0
Fatty acid elongation	457.0	522.0	3242.0	3593.0	153.0	397.0	139.0	316.0	665.0	128.0	146.0	96.0	338.0	346.0	463.0	307.0	194.0	76.0	186.0	126.0	232.0	100.0	131.0	151.0	233.0	137.0	154.0	108.0	318.0	262.0	885.0	799.0	742.0	531.0	228.0	437.0	410.0	302.0	185.0	71.0	164.0	284.0	162.0	183.0	191.0	553.0	457.0	1030.0	535.0	739.0	475.0	206.0
Flavone and flavonol biosynthesis	15.0	27.0	0.0	0.0	35.0	341.0	31.0	551.0	63.0	352.0	151.0	149.0	387.0	874.0	556.0	470.0	13.0	36.0	40.0	45.0	34.0	38.0	22.0	38.0	18.0	24.0	66.0	29.0	5.0	8.0	10.0	63.0	15.0	8.0	6.0	12.0	2.0	12.0	0.0	0.0	3.0	4.0	5.0	1.0	2.0	3.0	5.0	55.0	18.0	3.0	17.0	2.0
Flavonoid biosynthesis	172.0	82.0	0.0	0.0	8.0	11.0	7.0	7.0	4.0	5.0	19.0	21.0	17.0	19.0	8.0	12.0	18.0	12.0	8.0	12.0	11.0	35.0	15.0	19.0	6.0	15.0	11.0	8.0	18.0	26.0	49.0	216.0	37.0	12.0	5.0	0.0	8.0	4.0	3.0	2.0	0.0	7.0	0.0	3.0	0.0	26.0	5.0	184.0	51.0	11.0	41.0	5.0
Fluorobenzoate degradation	1009.0	1099.0	117.0	105.0	493.0	551.0	491.0	269.0	700.0	357.0	591.0	335.0	563.0	479.0	343.0	338.0	265.0	595.0	397.0	568.0	612.0	447.0	786.0	477.0	470.0	469.0	748.0	670.0	13.0	9.0	16.0	34.0	30.0	15.0	13.0	24.0	26.0	25.0	41.0	39.0	14.0	26.0	49.0	19.0	52.0	31.0	6.0	30.0	32.0	26.0	13.0	21.0
Folate biosynthesis	155241.0	153756.0	213606.0	185273.0	189251.0	200123.0	187952.0	205277.0	187327.0	185056.0	169313.0	181024.0	182744.0	197014.0	191066.0	184052.0	209664.0	210338.0	203224.0	226259.0	201695.0	235880.0	169334.0	159258.0	210464.0	223131.0	194871.0	217188.0	170349.0	155946.0	158512.0	189125.0	159354.0	162931.0	171081.0	169861.0	165174.0	165984.0	175293.0	175762.0	162154.0	165473.0	166130.0	166258.0	164032.0	208555.0	161373.0	178497.0	183855.0	171659.0	159567.0	159175.0
Fructose and mannose metabolism	301474.0	295502.0	442309.0	409955.0	266689.0	267301.0	253285.0	272199.0	265684.0	260211.0	289676.0	262733.0	260853.0	263376.0	258187.0	247955.0	264651.0	264924.0	253128.0	302345.0	266486.0	323328.0	296129.0	276224.0	265152.0	305582.0	246547.0	307499.0	380863.0	371242.0	306143.0	561134.0	342789.0	301417.0	313792.0	297753.0	349576.0	339605.0	282843.0	393783.0	321301.0	325675.0	289241.0	329200.0	294305.0	632843.0	348056.0	485621.0	530249.0	290948.0	332178.0	364326.0
Furfural degradation	2295.0	2069.0	1029.0	823.0	2455.0	2262.0	2707.0	2282.0	2000.0	2759.0	328.0	2337.0	2282.0	2398.0	2084.0	2407.0	2076.0	2278.0	3898.0	3118.0	2533.0	2873.0	425.0	409.0	2869.0	2988.0	2662.0	2538.0	24.0	100.0	343.0	465.0	199.0	336.0	334.0	317.0	322.0	357.0	330.0	46.0	47.0	373.0	375.0	368.0	551.0	432.0	264.0	404.0	583.0	242.0	388.0	409.0
