	sum_sq	df	F	PR(>F)
Trt	1.2078598908301927	5.0	3.332245779384766	0.013882369049939617
rstc_run	0.7628027392115829	1.0	10.522107023910944	0.002502755907545924
Residual	2.6823241092959482	37.0		
