Trt	Dialister	Sodaliphilus	Pseudoscardovia	Fibrobacter	Bifidobacterium	Pyramidobacter	Eubacterium (T)	Oribacterium	Bacteroidales (RUG11257)	Streptococcus	Pseudoramibacter	Lachnospiraceae	Cryptobacteroides	Bacteroidales (UBA1711)	Treponema (D)	Limosilactobacillus	Limimorpha	Lactobacillus	Prevotella
TMR	1.440359058223996	1.1867523537234854	2.201302046143151	0.6233280321123811	1.507965965362652	0.5341457630597697	3.1835990060871993	1.8555272186920964	0.24778438020543603	1.8042669700619989	3.2850230797164475	3.235764826974256	0.5385108863862984	1.2788312644472615	4.687333877292697	10.869554383617352	0.29027080750927764	19.541410388772515	19.845669317033206
AN1	1.3697252332042107	1.2922635849913648	2.7749799034112588	0.5311856446701586	2.1619812313344475	0.24429124191021154	2.7242660885772088	1.5671414585140782	0.21026249173416595	1.4821308556489265	2.5080166890596396	2.303568066207624	0.4622519202873443	2.0238724591823924	4.849092276281855	12.527410475137291	0.2865419897281535	20.54528999906585	19.184949300096562
AN2	1.8790793128754446	0.9315744984260583	1.6416584240655416	0.4398703570901193	2.045142487594282	0.3285486815015336	3.209111457787267	2.414522289725714	0.15338421000240762	1.6168876477826255	3.353031711351659	2.9492501238517947	0.47807142680020687	1.7112053102292315	6.485921558230858	9.880546948727346	0.15594224618523875	16.58816745341758	21.62933301453768
AT	1.6757579611312936	1.0611049951884373	2.3057778571279766	0.27441218882847696	3.0218874714123958	0.3221109983751661	1.3807921824228864	2.6801568691751054	0.05118145878615783	2.424780612784203	3.4750130379696733	3.0438805446733226	0.417934596671546	3.0651706641153145	3.0398676764666854	14.91434863985404	0.10938678625659473	16.630191502358883	22.383174428086242
FV1	1.4654662784081187	1.2181128983648166	1.8042837176292432	0.5474514125722622	1.2715259229108362	0.48942786744337063	3.6018445541366915	2.3205317907893255	0.14178729700604484	1.914995174712263	4.2112790171408765	2.974011820439372	0.4816341814835514	1.40316710556669	4.616409067518034	11.009923111325435	0.26326798605276613	18.22870641853974	19.17078721973824
FV2	1.5211408718143877	1.1411076890417557	2.2322529190024287	0.3361482758838161	1.4206651758324655	0.4539908083056075	3.536256946920595	1.9631836614375318	0.11565214402854423	1.9785646964957548	5.243571454432756	3.324589146574114	0.5196380699311427	1.5688134955201924	5.528269494815774	9.717038898604816	0.15813566406846036	16.044847225330887	20.819322772329453
