index	Dialister	Sodaliphilus	Pseudoscardovia	Fibrobacter	Bifidobacterium	Pyramidobacter	Eubacterium (T)	Oribacterium	Bacteroidales (RUG11257)	Streptococcus	Pseudoramibacter	Lachnospiraceae	Cryptobacteroides	Bacteroidales (UBA1711)	Treponema (D)	Limosilactobacillus	Limimorpha	Lactobacillus	Prevotella
4s	0.0	0.6398027763918646	0.0	5.7171367358318905	0.0	0.0	0.02201156340797699	0.4123499545094356	0.17462506970328415	0.04108825169489038	0.002934875121063599	2.237842279810994	4.779444134652071	1.578962815132216	3.6025592111055675	0.004402312681595398	1.3074868664338333	0.011739500484254395	25.267807354797057
5s	0.0	0.2839006028900444	0.0	2.677916360968452	0.0	0.0	0.0	0.23924208108711603	0.10526651567833105	0.006379788828989761	0.0	2.5391559539379247	3.491339436664646	1.2009952470573224	2.2552553510478806	0.0	1.6093017321126672	0.0	32.415707040096976
6s	0.0	0.14118527590664762	0.0	4.369939443423828	0.0	0.0	0.008505137102810098	0.16840171463563994	0.24154589371980675	0.011907191943934137	0.0034020548411240388	1.5258215962441315	3.1554058651425456	1.2519561815336464	3.066952439273321	0.0	2.529427774375723	0.010206164523372117	36.52616180172824
7s	0.00890690062125632	0.9663987174063104	0.0	3.128548843216282	0.011133625776570398	0.0	0.0	0.23157941615266428	0.2694337437930036	0.022267251553140795	0.0	2.3892760916520075	4.887661715914405	2.164376850965285	1.647776614932419	0.01781380124251264	2.3603286646329247	0.03785432764033935	30.216660357612056
83s	0.0	0.12199306164461896	0.024779840646563227	4.889253173725745	0.028592123822957567	0.011436849529183028	0.011436849529183028	0.32404406999351915	0.0934009378216614	0.026685982234760396	0.05337196446952079	2.460828790362548	4.216385193092142	1.0140673249208951	1.8603941900804393	0.06671495558690099	2.1520338530746064	0.3202317868171248	24.63497388586024
84s	0.0	0.1466476350624719	0.0	5.932385663727197	0.02737422521166142	0.0	0.01368711260583071	0.16815595487163443	0.19161957648162994	0.041061337817492126	0.009776509004164793	1.933793481023796	3.599710615333477	1.2768120759439219	2.0628433998787714	0.12513931525330935	1.2807226795455877	0.3069823827307745	25.217527325342665
85s	0.034948014827943436	0.3507282916661466	0.026211011120957577	4.553227074726345	0.0	0.0	0.054918309015339686	0.14728091963204734	0.17973264768656624	0.04618130530835383	0.09860332755026897	1.8659743631348369	3.6183676780788576	1.25063967348569	2.1742657796527665	0.09236261061670765	1.9920368451927757	0.22716209638163234	26.344562463335784
mix4-6s	0.0	0.20197990175298605	0.007480737101962447	3.418696855596838	0.0	0.012467895169937413	0.0	0.24437074533077327	0.10223674039348676	0.0274293693738623	0.0	1.7704411141311123	3.12944168765429	1.3166097299453905	2.471136822681595	0.03491010647582475	2.074657756277585	0.05735231778171209	36.4935291624068
mix83-85s	0.0	0.08726868839128107	0.03371744778754041	4.7700271722961585	0.023800551379440288	0.0	0.0	0.2598226858922232	0.09718558479938119	0.019833792816200242	0.017850413534580216	1.8266923183720423	3.4074456058232014	0.890537297447391	2.518891687657431	0.031734068505920386	1.3348142565302763	0.08528530910966103	25.498324044507033
