Trt	Dialister	Sodaliphilus	Pseudoscardovia	Fibrobacter	Bifidobacterium	Pyramidobacter	Eubacterium (T)	Oribacterium	Bacteroidales (RUG11257)	Streptococcus	Pseudoramibacter	Lachnospiraceae	Cryptobacteroides	Bacteroidales (UBA1711)	Treponema (D)	Limosilactobacillus	Limimorpha	Lactobacillus	Prevotella
TMR	0.3774782115328035	0.2736033318973651	0.3856157481002423	0.29855937932992416	0.5874410887968691	1.9595772316233944	0.17526701948908877	1.1734849803404976	6.041515153429486	1.6675354364458954	0.5909561535895411	2.1242600442569866	2.7646579924705286	5.872917739748939	1.1940472366580501	2.97572673013874	18.755371961548573	7.494803859627747	10.526469661427022
AN1	0.6910001799980731	0.28175433136881145	0.36250840717568766	0.2878868090344669	0.8831563547756708	2.016613561666766	0.2786297581516234	1.36316654927969	3.8635200915317274	2.41410946038954	1.0466788132889426	1.3989859743939457	2.964020197192827	4.302200729164864	1.8996548550984813	4.069464759836823	17.370579431271995	6.144957958154162	11.109315082536051
AN2	0.20093630803642065	0.30506916359161873	0.5119223099995797	0.38272882705036115	1.303502846548437	1.4856398454701436	0.2133513369929015	1.0250002253709773	4.317690333922177	1.1217564983078483	0.2685574961647654	1.7628990482551625	3.421063782310695	5.834101064073183	1.4940172957828786	2.341525414891378	26.40153016450907	5.167478225533175	8.44041705496962
AT	0.6148167429908712	3.202126219094577	0.4123144644885129	0.27521288305019714	1.2010146649503324	2.2652652159577675	0.3734670873904611	1.819740709519554	0.6768966685290622	3.6040234963763766	1.6006627780535756	1.3590023574828352	5.049586555747481	5.957471886965865	1.7524902292194529	5.0747648227280555	8.46781933925927	8.333573704815667	14.59528554317486
FV1	0.5624443846951505	0.22642826624202567	0.31672498797942905	0.33667524937795773	0.18834328150033747	2.6784662677402493	0.19829947904144574	1.7837116260974288	3.6222407077654726	2.4017245412198163	0.5976467562400825	1.3102312933273834	3.064320680876039	4.101724823500843	2.127445834832096	2.8017747470926695	15.407460605237645	6.318335538359101	12.573762809532399
FV2	0.2665406848646584	0.2390526460424085	0.4247256890691066	0.31497173433484327	0.43918257771723623	2.6682219008969783	0.20780309043788006	1.4968278886450024	3.535147947747678	2.133908111723504	0.4485080164353721	1.9007414955654474	3.45575154910979	4.871251999333002	2.126498389483159	2.4846043911384204	17.408218334887003	4.910618859459085	10.155484617869893
