Trt	Methanobacteriaceae (UBA588)	Methanimicrococcus	Methanomethylophilus	Methanobrevibacter (B)	Methanobrevibacter	Methanomicrobium	Methanomethylophilaceae (UBA71)	Methanobrevibacter (A)
TMR	2.2215222009736593	1.4954770554551902	2.38033466108594	10.781587279948713	2.0856537299444753	27.883959379331607	21.57183992176978	28.748616711420055
AN1	2.828653353810137	2.0936899041543398	2.0892601436617637	7.812731894844052	3.4734060236602424	40.54992216197472	18.648816050591854	18.85225744549618
AN2	4.382673443764351	1.65890566875168	1.7996419556339567	7.918653387189721	2.482332452505685	31.479294382093915	20.59418812976397	26.54712397170564
AT	0.8126244853898342	1.5324637630248745	14.483648003506204	1.3371273006031856	13.835972353644317	1.6230890173028687	48.499636055846054	9.446288243105636
FV1	3.5028183248005687	2.227065240651471	2.8059021978769927	1.947553229070218	3.724869491392566	24.41267838655186	23.879034216597486	34.51317017238792
FV2	3.775371683564628	1.7596860742111569	1.3254268797992415	4.422089058714144	6.347399663985616	10.525161925207044	27.10337919677872	41.25982231336677
