	sum_sq	df	F	PR(>F)
Trt	0.8813805037555629	5.0	4.644641298247636	0.0018899804038152537
rstc_run	0.34438699370299763	1.0	9.0741402079839	0.004427617544085634
Residual	1.5560556061718676	41.0		
