index	Methanobacteriaceae (UBA588)	Methanimicrococcus	Methanomethylophilus	Methanobrevibacter (B)	Methanobrevibacter	Methanomicrobium	Methanomethylophilaceae (UBA71)	Methanobrevibacter (A)
4s	1.2704255701203089	0.10549470281917758	2.9852756329682166	14.926378164841084	18.409947926019036	0.24016879152451068	11.665020650026934	40.60423774465793
5s	0.1823131897515679	0.08507948855073169	13.867956633769266	16.417910447761194	9.944576790315523	0.20175992999173514	7.416500559093782	44.93412416743644
6s	1.130502515736511	0.025262626049977897	1.0968190143365402	19.879581482495105	9.031388812867098	0.07157744047493737	7.092482263531294	55.661986063451295
7s	1.004613633186203	0.04194211987457309	5.790009786494638	10.495516187661028	18.59433981106074	0.027961413249715395	8.528231041163195	45.58708981605385
83s	0.26999316473000684	0.0	4.244702665755297	14.518113465481886	14.771018455228981	0.010252904989747095	10.591250854408749	47.57347915242652
84s	0.08335203411021704	0.01602923732888789	1.5580418683679031	16.64155419485141	10.806911807136215	0.0	10.146507229186035	47.77995062994903
85s	1.0883709925470249	0.007886746322804526	1.0095035293189794	11.214953271028037	5.2880634094404355	0.05520722425963168	5.150045348791356	71.48941204306163
86s	0.8935805175618359	0.0	1.5488728971071821	7.782490587618549	15.867607110518039	0.03812610208263832	7.458418719916122	60.29881332507267
mix4-6s	0.7607607607607607	0.2702702702702703	5.8558558558558556	17.187187187187185	9.90990990990991	0.47047047047047047	7.5875875875875884	51.42142142142142
mix83-85s	0.8476753146673517	0.05137426149499101	1.4898535833547393	12.329822758797842	8.639438308074322	0.05137426149499101	7.69757684733282	62.06010788594914
